R,yc
8,5.9046
8,5.9888
8,6.19
8,6.0223
8,6.1703
8,6.19
8,6.2983
8,6.0918
8,6.293
8,6.2882
8,6.2933
8,6.2832
8,6.3034
8,6.2983
8,6.464
8,6.2983
8,6.2782
8,6.3916
8,6.2882
4,6.3916
4,6.2933
4,6.2983
4,6.195
4,5.9046
4,5.8765
4,5.7922
4,5.511
4,5.3997
4,5.3183
8,5.1052
8,5.1132
8,5.0111
8,5.2115
8,5.3997
8,5.5022
8,5.6004
8,5.8015
8,5.685
8,5.919
4,5.8904
4,6.082
4,6.008
4,5.8904
4,5.6094
4,5.4978
4,5.404
4,5.4083
4,5.1132
4,5.0028
8,4.9247
8,4.7124
8,4.8105
8,5.0149
8,5.2073
8,5.3997
8,5.511
8,5.5915
8,5.7879
8,5.7876
4,5.8951
4,5.9984
4,5.9046
4,5.7971
4,5.6094
4,5.5243
4,5.3865
4,5.2034
4,5.105
4,5.0312
4,4.8029
4,4.8183
4,4.6217
4,4.4319
4,4.4215
4,4.2214
4,4.2284
4,4.0316
4,4.1167
4,3.835
4,3.844
4,3.7248
4,3.6384
4,3.6411
4,3.526
4,3.5484
4,3.4363
4,3.436
4,3.3459
4,3.3352
8,3.2449
8,3.2452
8,3.436
8,3.9239
8,4.2181
8,4.5197
8,4.9087
8,5.0068
8,5.2075
8,5.5022
4,5.5022
4,5.5959
4,5.6941
4,5.5022
4,5.4126
4,5.3055
4,5.1175
4,4.9205
4,4.9205
4,4.7086
8,4.6143
8,4.5197
8,4.6217
8,4.8067
8,5.0068
8,5.2201
8,5.3994
8,5.6004
8,5.6094
8,5.7832
4,5.7738
4,5.9048
4,5.8951
4,5.7078
4,5.7032
4,5.5022
4,5.2973
4,5.1173
4,5.1134
4,5.0229
4,4.8144
4,4.618
4,4.6254
4,4.5234
4,4.323
4,4.2214
4,4.2251
4,4.0284
4,3.9364
4,3.9333
4,3.8256
4,3.7337
4,3.6384
4,3.6323
4,3.5373
4,3.5342
4,3.3489
4,3.436
4,3.2475
4,3.436
4,3.2501
4,3.2372
4,3.2426
4,3.2397
4,3.1517
4,3.1391
4,3.2397
4,3.1466
4,3.1441
4,3.1466
8,3.1388
8,3.0459
8,3.4363
8,3.6323
8,4.2251
8,4.4107
8,4.8221
8,5.0151
8,5.1948
8,5.3058
4,5.5959
4,5.511
4,5.6895
4,5.4083
4,5.4083
4,5.2031
4,5.1134
4,5.0149
4,4.8183
4,4.7237
8,4.6106
8,4.5195
8,4.5197
8,4.8146
8,5.0108
8,5.2115
8,5.3951
8,5.5917
8,5.6943
8,5.7167
4,5.7925
4,5.8812
4,5.9043
4,5.8018
4,5.6137
4,5.498
4,5.3055
4,5.1995
4,5.1173
4,4.9166
4,4.9166
4,4.72
4,4.4357
4,4.6069
4,4.3297
4,4.2183
4,4.1268
4,4.133
4,3.9241
4,3.9331
4,3.8383
4,3.7364
4,3.6381
4,3.6357
4,3.537
4,3.4415
4,3.5285
4,3.3513
4,3.3379
4,3.3406
8,3.3411
8,3.2346
8,3.4415
8,3.9236
8,4.2251
8,4.5197
8,4.9126
8,5.1132
8,5.2031
8,5.498
4,5.5108
4,5.7786
4,5.6092
4,5.5962
4,5.4037
4,5.212
4,5.2073
4,5.0108
4,4.9244
4,4.8105
4,4.6254
4,4.5089
4,4.425
4,4.2347
4,4.2284
4,4.2183
4,4.0281
4,3.9272
4,3.8378
4,3.7369
8,3.7305
8,3.6381
8,3.725
8,4.133
8,4.6106
8,4.7124
8,5.105
8,5.1096
8,5.3908
8,5.6047
4,5.6052
4,5.7879
4,5.6182
4,5.6807
4,5.4255
4,5.4042
4,5.2073
4,5.0028
4,5.0229
4,4.8144
4,4.72
4,4.527
4,4.5197
4,4.3198
4,4.3263
4,4.0286
4,4.123
4,4.0318
4,3.8317
4,3.8383
4,3.7394
4,3.6328
4,3.6294
4,3.5398
4,3.4443
4,3.4305
4,3.4503
4,3.3459
4,3.3272
4,3.2475
